"","storm_id","storm_name","month","day","hour","year","latitude","longitude","max_wind","min_pressure","rad_max_wind","eye_diameter","pressure_1","pressure_2","radius_34_ne","radius_34_se","radius_34_sw","radius_34_nw","radius_50_ne","radius_50_se","radius_50_sw","radius_50_nw","radius_64_ne","radius_64_se","radius_64_sw","radius_64_nw","storm_type","distance_to_land","final"
"1","AL0188","ALBERTO","08","05","18",1988,32,77.5,20,1015,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",218,"."
"2","AL0188","ALBERTO","08","06","00",1988,32.8,76.2,20,1014,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",213,"."
"3","AL0188","ALBERTO","08","06","06",1988,34,75.2,20,1013,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",149,"."
"4","AL0188","ALBERTO","08","06","12",1988,35.2,74.6,25,1012,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",126,"."
"5","AL0188","ALBERTO","08","06","18",1988,37,73.5,25,1011,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",197,"."
"6","AL0188","ALBERTO","08","07","00",1988,38.7,72.4,25,1009,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",193,"."
"7","AL0188","ALBERTO","08","07","06",1988,40,70.8,30,1006,NA,NA,1012,90,0,0,0,0,0,0,0,0,0,0,0,0,"*",150,"."
"8","AL0188","ALBERTO","08","07","12",1988,41.5,69,35,1002,NA,NA,1012,60,100,100,50,50,0,0,0,0,0,0,0,0,"*",118,"."
"9","AL0188","ALBERTO","08","07","18",1988,43,67.5,35,1002,NA,NA,1008,50,100,100,50,50,0,0,0,0,0,0,0,0,"*",144,"."
"10","AL0188","ALBERTO","08","08","00",1988,45,65.5,35,1004,NA,NA,1008,50,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"*",22,"."
"11","AL0188","ALBERTO","08","08","06",1988,47,63,35,1006,NA,NA,1008,50,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"*",64,"."
"12","AL0188","ALBERTO","08","08","12",1988,49,60,30,1008,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"E",105,"."
"13","AL0188","ALBERTO","08","08","18",1988,51,56,25,1010,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"E",-5,"."
"14","AL0288","BERYL","08","08","00",1988,30.4,90.3,25,1010,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",-15,"."
"15","AL0288","BERYL","08","08","06",1988,29.7,89.7,30,1009,NA,NA,1012,170,0,0,0,0,0,0,0,0,0,0,0,0,"*",-6,"."
"16","AL0288","BERYL","08","08","12",1988,29.7,89.4,35,1007,NA,NA,1012,90,50,50,100,0,0,0,0,0,0,0,0,0,"*",18,"."
"17","AL0288","BERYL","08","08","18",1988,29.4,89.2,40,1005,NA,NA,1012,170,50,50,50,25,0,0,0,0,0,0,0,0,"*",9,"."
"18","AL0288","BERYL","08","09","00",1988,29.3,89.1,45,1002,NA,NA,1008,80,50,100,100,25,0,0,0,0,0,0,0,0,"*",10,"."
"19","AL0288","BERYL","08","09","06",1988,29.6,89.5,45,1001,NA,NA,1008,120,50,75,75,50,0,0,0,0,0,0,0,0,"*",11,"."
"20","AL0288","BERYL","08","09","12",1988,30.1,90.4,45,1002,NA,NA,NA,NA,0,150,150,0,0,0,0,0,0,0,0,0,"*",0,"."
"21","AL0288","BERYL","08","09","18",1988,30.1,90.9,40,1005,NA,NA,1012,190,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"*",-48,"."
"22","AL0288","BERYL","08","10","00",1988,30.3,91.6,30,1006,NA,NA,1008,120,0,0,0,0,0,0,0,0,0,0,0,0,"*",-63,"."
"23","AL0288","BERYL","08","10","06",1988,30.7,92.2,30,1007,NA,NA,1008,50,0,0,0,0,0,0,0,0,0,0,0,0,"*",-104,"."
"24","AL0288","BERYL","08","10","12",1988,31.2,92.6,25,1008,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",-166,"."
"25","AL0288","BERYL","08","10","18",1988,31.7,93.2,20,1011,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",-211,"."
"26","AL0388","CHRIS","08","21","12",1988,14.9,43.3,25,1009,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",1493,"."
"27","AL0388","CHRIS","08","21","18",1988,14.6,45.7,25,1009,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",1304,"."
"28","AL0388","CHRIS","08","22","00",1988,14.6,47.8,25,1009,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",1184,"."
"29","AL0388","CHRIS","08","22","06",1988,14.7,49.9,25,1009,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",1096,"."
"30","AL0388","CHRIS","08","22","12",1988,14.8,51.9,30,1009,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",1037,"."
"31","AL0388","CHRIS","08","22","18",1988,15.1,54,30,1009,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",896,"."
"32","AL0388","CHRIS","08","23","00",1988,15.3,55.7,30,1009,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",761,"."
"33","AL0388","CHRIS","08","23","06",1988,15.6,57.5,30,1009,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",654,"."
"34","AL0388","CHRIS","08","23","12",1988,16,59.2,30,1009,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",610,"."
"35","AL0388","CHRIS","08","23","18",1988,16.3,61,30,1009,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",546,"."
"36","AL0388","CHRIS","08","24","00",1988,16.7,62.4,30,1009,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",392,"."
"37","AL0388","CHRIS","08","24","06",1988,16.9,63.8,30,1009,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",253,"."
"38","AL0388","CHRIS","08","24","12",1988,17.2,65.2,30,1009,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",116,"."
"39","AL0388","CHRIS","08","24","18",1988,17.5,66.7,30,1009,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",46,"."
"40","AL0388","CHRIS","08","25","00",1988,17.8,67.8,30,1009,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",67,"."
"41","AL0388","CHRIS","08","25","06",1988,18.2,68.8,30,1009,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",0,"."
"42","AL0388","CHRIS","08","25","12",1988,18.5,69.8,30,1008,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",-17,"."
"43","AL0388","CHRIS","08","25","18",1988,19.1,70.9,30,1008,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",-76,"."
"44","AL0388","CHRIS","08","26","00",1988,19.8,72.1,30,1008,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",7,"."
"45","AL0388","CHRIS","08","26","06",1988,20.5,73.2,30,1008,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",67,"."
"46","AL0388","CHRIS","08","26","12",1988,21.5,74.2,30,1008,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",118,"."
"47","AL0388","CHRIS","08","26","18",1988,22.5,75.4,30,1008,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",167,"."
"48","AL0388","CHRIS","08","27","00",1988,23.3,76.2,30,1008,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",216,"."
"49","AL0388","CHRIS","08","27","06",1988,24.1,77.2,30,1008,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",239,"."
"50","AL0388","CHRIS","08","27","12",1988,24.9,78.1,30,1008,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",233,"."
"51","AL0388","CHRIS","08","27","18",1988,25.8,79,30,1008,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",120,"."
"52","AL0388","CHRIS","08","28","00",1988,26.8,79.7,30,1008,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"*",41,"."
"53","AL0388","CHRIS","08","28","06",1988,28.2,80,40,1008,NA,NA,1012,130,100,100,20,20,0,0,0,0,0,0,0,0,"*",55,"."
